property_id,fuente,url,search_url,pagina_origen,posicion_pagina,scraped_at_utc,http_status,parse_ok,parse_warnings,titulo,tipo_propiedad,tipo_operacion,descripcion,anfitrion,superhost,estado_publicacion,moneda,precio,precio_texto,precio_por_noche_texto,precio_total_texto,expensas_texto,precio_m2_calculado,direccion_completa,barrio,localidad,provincia,pais,codigo_postal,latitud,longitud,huespedes,dormitorios,camas,banios,superficie_total_m2,rating,cantidad_resenas,categoria_airbnb,distancia_texto,ubicacion_texto,amenities_texto,atributos_texto,cantidad_imagenes,imagen_principal,imagen_id,texto_tarjeta,datos_embebidos_json
AIRBNB1743495132428747969,Airbnb,https://www.airbnb.com.ar/rooms/1743495132428747969,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,5,2026-09-05T17:20:49.599362+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,1,publica,ARS,395.0,$ 395,$ 395,,,,Mansión Botánico Apart,,,,Argentina,,,,,1,1,1,,5.0,,,,Mansión Botánico Apart,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1743495132428747969/original/4e139a11-2291-4228-92d1-08593a9e2010.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Buenos Aires Mansión Botánico Apart 1 dormitorio 1 dormitorio , · 1 cama king 1 cama king , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 395 USD Mostrar el desglose del precio por 5 noches $ 395 USD por 5 noches Calificación promedio: 5,0 de 5. 3 evaluaciones 5,0 (3)",
AIRBNB1485661810243961790,Airbnb,https://www.airbnb.com.ar/rooms/1485661810243961790,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,8,2026-09-05T17:20:49.771844+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,USD,347.0,$ 347 USD $ 309 USD Mostrar el desglose del precio por 5 noches,$ 347 USD $ 309 USD Mostrar el desglose del precio por 5 noches,,,,Suite de lujo · Estilo Hotel · Gimnasio y terraza,,,,Argentina,,,,,1,1,1,,4.96,,,,Suite de lujo · Estilo Hotel · Gimnasio y terraza,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Buenos Aires Suite de lujo · Estilo Hotel · Gimnasio y terraza 1 dormitorio 1 dormitorio , · 1 cama queen 1 cama queen , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 347 USD $ 309 USD Mostrar el desglose del precio por 5 noches Descuento por estadía larga Calificación promedio: 4,96 de 5. 101 evaluaciones 4,96 (101)",
AIRBNB895051317185156146,Airbnb,https://www.airbnb.com.ar/rooms/895051317185156146,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,9,2026-09-05T17:20:49.817637+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,1,publica,ARS,531.0,$ 531,$ 531,,,,Lujo en Puerto Madero | Impresionantes vistas y servicios,,,,Argentina,,,,,,1,1,,4.94,,,,Lujo en Puerto Madero | Impresionantes vistas y servicios,,,1,https://a0.muscache.com/im/pictures/miso/Hosting-895051317185156146/original/4a47a3c2-812e-4d3a-a6d4-ab3c3442ad88.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Buenos Aires Lujo en Puerto Madero | Impresionantes vistas y servicios 1 cama king 1 cama king , · 1 baño 1 baño 09 – 14 de 09 09 – 14 de 09 $ 531 USD Mostrar el desglose del precio por 5 noches $ 531 USD por 5 noches Calificación promedio: 4,94 de 5. 531 evaluaciones 4,94 (531)",
AIRBNB1731541089633199270,Airbnb,https://www.airbnb.com.ar/rooms/1731541089633199270,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,10,2026-09-05T17:20:49.880390+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,ARS,241.0,$ 241,$ 241,,,,Hermoso departamento en el corazón de Buenos Aires,,,,Argentina,,,,,1,1,1,,5.0,,,,Hermoso departamento en el corazón de Buenos Aires,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1731541089633199270/original/987aef31-afb4-4c54-8446-89195a903d04.jpeg?im_w=720,,"Departamento en Buenos Aires Hermoso departamento en el corazón de Buenos Aires 1 dormitorio 1 dormitorio , · 1 cama doble 1 cama doble , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 241 USD Mostrar el desglose del precio por 5 noches $ 241 USD por 5 noches Calificación promedio: 5,0 de 5. 3 evaluaciones 5,0 (3)",
AIRBNB1642636689387269527,Airbnb,https://www.airbnb.com.ar/rooms/1642636689387269527,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,11,2026-09-05T17:20:49.936285+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,ARS,371.0,$ 371,$ 371,,,,Hermoso Monoambiente en Palermo Chico (U3),,,,Argentina,,,,,1,1,1,,5.0,,,,Hermoso Monoambiente en Palermo Chico (U3),,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Buenos Aires Hermoso Monoambiente en Palermo Chico (U3) 1 dormitorio 1 dormitorio , · 1 cama 1 cama , · 1 baño 1 baño 13 – 18 de 09 13 – 18 de 09 $ 371 USD Mostrar el desglose del precio por 5 noches $ 371 USD por 5 noches Cancelación gratuita Calificación promedio: 5,0 de 5. 61 evaluaciones 5,0 (61)",
AIRBNB1134921979384660150,Airbnb,https://www.airbnb.com.ar/rooms/1134921979384660150,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,12,2026-09-05T17:20:49.995808+00:00,200,1,,Loft en Buenos Aires,departamento,alquiler temporal,,,0,publica,USD,494.0,$ 494 USD $ 350 USD Mostrar el desglose del precio por 5 noches,$ 494 USD $ 350 USD Mostrar el desglose del precio por 5 noches,,,,Luxy Smart Home - ¡Departamento TOP en Recoleta!,,,,Argentina,,,,,1,3,1,,4.93,,,,Luxy Smart Home - ¡Departamento TOP en Recoleta!,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTEzNDkyMTk3OTM4NDY2MDE1MA%3D%3D/original/97de266f-58a5-40c4-b43d-28ae539aa071.jpeg?im_w=720,,"Favorito entre huéspedes Favorito entre huéspedes Loft en Buenos Aires Luxy Smart Home - ¡Departamento TOP en Recoleta! 1 dormitorio 1 dormitorio , · 3 camas 3 camas , · 1 baño 1 baño 07 – 12 de 09 07 – 12 de 09 $ 494 USD $ 350 USD Mostrar el desglose del precio por 5 noches Calificación promedio: 4,93 de 5. 71 evaluaciones 4,93 (71)",
AIRBNB1437917484915119956,Airbnb,https://www.airbnb.com.ar/rooms/1437917484915119956,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,13,2026-09-05T17:20:50.040415+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,USD,364.0,$ 364 USD $ 234 USD Mostrar el desglose del precio por 5 noches,$ 364 USD $ 234 USD Mostrar el desglose del precio por 5 noches,,,,Palermo · Luminoso y tranquilo · HexaSuites 2B,,,,Argentina,,,,,1,2,5,,4.96,,,,Palermo · Luminoso y tranquilo · HexaSuites 2B,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Buenos Aires Palermo · Luminoso y tranquilo · HexaSuites 2B 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 ,5 baños 1 ,5 baños 07 – 12 de 09 07 – 12 de 09 $ 364 USD $ 234 USD Mostrar el desglose del precio por 5 noches Calificación promedio: 4,96 de 5. 48 evaluaciones 4,96 (48)",
AIRBNB1759658935941361011,Airbnb,https://www.airbnb.com.ar/rooms/1759658935941361011,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,14,2026-09-05T17:20:50.086017+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,1,publica,USD,380.0,$ 380 USD $ 311 USD Mostrar el desglose del precio por 5 noches,$ 380 USD $ 311 USD Mostrar el desglose del precio por 5 noches,,,,"Nuevo, a pasos del Movistar Arena y con amenities",,,,Argentina,,,,,,2,1,,,,,,"Nuevo, a pasos del Movistar Arena y con amenities",,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1759658935941361011/original/d71a7f8e-13df-43cb-bf1e-0c5b9904f5dd.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Buenos Aires Nuevo, a pasos del Movistar Arena y con amenities 2 camas 2 camas , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 380 USD $ 311 USD Mostrar el desglose del precio por 5 noches Lugar nuevo para alojarse Nuevo",
AIRBNB1755172951902979121,Airbnb,https://www.airbnb.com.ar/rooms/1755172951902979121,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,15,2026-09-05T17:20:50.133625+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,1,publica,ARS,295.0,$ 295,$ 295,,,,Departamento con encanto en Palermo Hollywood 201,,,,Argentina,,,,,1,1,1,,5.0,,,,Departamento con encanto en Palermo Hollywood 201,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1755172951902979121/original/c165c3a8-909c-4fce-81a1-bffe6353275c.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Buenos Aires Departamento con encanto en Palermo Hollywood 201 1 dormitorio 1 dormitorio , · 1 cama queen 1 cama queen , · 1 baño 1 baño 20 – 25 de 09 20 – 25 de 09 $ 295 USD Mostrar el desglose del precio por 5 noches $ 295 USD por 5 noches Cancelación gratuita Calificación promedio: 5,0 de 5. 3 evaluaciones 5,0 (3)",
AIRBNB1521230011879833799,Airbnb,https://www.airbnb.com.ar/rooms/1521230011879833799,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,16,2026-09-05T17:20:50.187546+00:00,200,1,,Loft en Buenos Aires,departamento,alquiler temporal,,,0,publica,USD,335.0,$ 335 USD $ 290 USD Mostrar el desglose del precio por 5 noches,$ 335 USD $ 290 USD Mostrar el desglose del precio por 5 noches,,,,Luminoso y tranquilo departamento en Belgrano,,,,Argentina,,,,,,1,1,,5.0,,,,Luminoso y tranquilo departamento en Belgrano,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Loft en Buenos Aires Luminoso y tranquilo departamento en Belgrano 1 cama queen 1 cama queen , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 335 USD $ 290 USD Mostrar el desglose del precio por 5 noches Calificación promedio: 5,0 de 5. 107 evaluaciones 5,0 (107)",
AIRBNB1612800677333005761,Airbnb,https://www.airbnb.com.ar/rooms/1612800677333005761,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,17,2026-09-05T17:20:50.253905+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,USD,349.0,$ 349 USD $ 234 USD Mostrar el desglose del precio por 5 noches,$ 349 USD $ 234 USD Mostrar el desglose del precio por 5 noches,,,,Palermo · Suite con patio privado · HexaSuites 0B,,,,Argentina,,,,,1,1,5,,4.97,,,,Palermo · Suite con patio privado · HexaSuites 0B,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Buenos Aires Palermo · Suite con patio privado · HexaSuites 0B 1 dormitorio 1 dormitorio , · 1 cama queen 1 cama queen , · 1 ,5 baños 1 ,5 baños 11 – 16 de 09 11 – 16 de 09 $ 349 USD $ 234 USD Mostrar el desglose del precio por 5 noches Calificación promedio: 4,97 de 5. 32 evaluaciones 4,97 (32)",
AIRBNB1491521894767975895,Airbnb,https://www.airbnb.com.ar/rooms/1491521894767975895,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,18,2026-09-05T17:20:50.307649+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,ARS,589.0,$ 589,$ 589,,,,Departamento familiar de lujo en el centro de Buenos Aires | Gimnasio y cowork,,,,Argentina,,,,,,2,1,,4.98,,,,Departamento familiar de lujo en el centro de Buenos Aires | Gimnasio y cowork,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Buenos Aires Departamento familiar de lujo en el centro de Buenos Aires | Gimnasio y cowork 2 camas queen 2 camas queen , · 1 baño 1 baño 05 – 10 de 09 05 – 10 de 09 $ 589 USD Mostrar el desglose del precio por 5 noches $ 589 USD por 5 noches Calificación promedio: 4,98 de 5. 164 evaluaciones 4,98 (164)",
AIRBNB1760830747683417811,Airbnb,https://www.airbnb.com.ar/rooms/1760830747683417811,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,4,18,2026-09-05T17:21:20.703446+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,ARS,275.0,$ 275,$ 275,,,,Alquileres Buenos Aires,,,,Argentina,,,,,1,1,1,,,,,,Alquileres Buenos Aires,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1760830747683417811/original/f2465d22-0dc6-4904-8954-6878698ad268.jpeg?im_w=720,,"Departamento en Buenos Aires Alquileres Buenos Aires 1 dormitorio 1 dormitorio , · 1 cama 1 cama , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 275 USD Mostrar el desglose del precio por 5 noches $ 275 USD por 5 noches Lugar nuevo para alojarse Nuevo",
