dataset,columna,tipo_dato,descripcion,ejemplo
df_raw_meli_vtas,superficie_min_m2,float64,Superficie mínima en m2 informada o inferida.,38.0
df_raw_meli_vtas,superficie_max_m2,float64,Superficie máxima en m2 informada o inferida.,44.0
df_raw_meli_vtas,tipo_superficie,str,Tipo de superficie usada para el dato de m2.,cubierta
df_raw_meli_vtas,imagen_principal,str,URL de imagen principal.,https://http2.mlstatic.com/D_NQ_NP_2X_846087-MLA112858604644_072026-E.webp
df_raw_meli_vtas,destacado,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_vtas,emprendimiento,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_vtas,posesion,str,Pendiente de documentar según significado en la fuente.,Entrega inmediata
df_raw_meli_vtas,unidades_disponibles,float64,Pendiente de documentar según significado en la fuente.,7.0
df_raw_meli_vtas,atributos_texto,str,Pendiente de documentar según significado en la fuente.,2 ambs. | 1 baño | 38 - 44 m² cubiertos
df_raw_meli_vtas,texto_tarjeta,str,Pendiente de documentar según significado en la fuente.,EMPRENDIMIENTO Departamento en venta Mine Migueletes - Bajo Belgrano Desde US$ 198.000 2 ambs. 1 baño 38 - 44 m² cubiert...
df_raw_meli_vtas,parse_warnings,float64,Advertencias del proceso de parseo.,
df_raw_meli_vtas,posicion_pagina,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_vtas,slug,str,Pendiente de documentar según significado en la fuente.,MLA-1844045092-mine-migueletes-bajo-belgrano-_JM
df_raw_meli_vtas,calle,str,Calle extraída o inferida.,Migueletes
df_raw_meli_vtas,altura,float64,Altura aproximada o declarada.,2306.0
df_raw_meli_vtas,comuna,float64,Comuna de CABA cuando está disponible o inferida.,13.0
df_raw_meli_vtas,precio_anterior,float64,Pendiente de documentar según significado en la fuente.,1300.0
df_raw_meli_vtas,descuento_pct,float64,Pendiente de documentar según significado en la fuente.,-9130.77
df_raw_meli_vtas,precio_m2_min,float64,Precio por metro cuadrado mínimo calculado por Mercado Libre cuando hay rangos.,4500.0
df_raw_meli_vtas,precio_m2_max,float64,Precio por metro cuadrado máximo calculado por Mercado Libre cuando hay rangos.,5210.53
df_raw_meli_vtas,amplitud_superficie_m2,float64,Pendiente de documentar según significado en la fuente.,6.0
df_raw_meli_vtas,es_rango_superficie,float64,Pendiente de documentar según significado en la fuente.,1.0
df_raw_meli_vtas,es_rango_ambientes,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_vtas,monoambiente,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_vtas,apto_credito,int64,Indicador de apto crédito.,0
df_raw_meli_vtas,balcon,int64,Indicador de balcón.,0
df_raw_meli_vtas,terraza,int64,Indicador de terraza.,0
df_raw_meli_vtas,pileta,int64,Indicador de pileta.,0
df_raw_meli_vtas,parrilla,int64,Indicador de parrilla.,0
df_raw_meli_vtas,cochera_mencionada,int64,Indicador de cochera mencionada en Mercado Libre.,0
df_raw_meli_vtas,amenities_mencionadas,int64,Indicador de amenities mencionadas en Mercado Libre.,0
df_raw_meli_vtas,estado_entrega,str,Pendiente de documentar según significado en la fuente.,entrega_inmediata
df_raw_meli_vtas,cantidad_atributos,int64,Pendiente de documentar según significado en la fuente.,3
df_raw_meli_vtas,completitud_pct,float64,Pendiente de documentar según significado en la fuente.,85.7
df_raw_meli_vtas,imagen_id,str,Pendiente de documentar según significado en la fuente.,D_NQ_NP_2X_846087-MLA112858604644_072026-E
df_raw_meli_vtas,imagen_extension,str,Pendiente de documentar según significado en la fuente.,webp
df_raw_meli_vtas,_archivo_origen,str,Pendiente de documentar según significado en la fuente.,data\raw\mercadolibre_inmuebles_ventas\meli_vtas_1.csv
df_raw_argenprop,property_id,str,Identificador de publicación o propiedad según fuente.,e197e9f1c643db6d77d3
df_raw_argenprop,fuente,str,Portal o fuente de origen del registro.,Argenprop
df_raw_argenprop,url,str,URL de la publicación.,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423
df_raw_argenprop,scraped_at_utc,str,Fecha y hora de extracción en UTC.,2026-08-15T23:56:14.395650+00:00
df_raw_argenprop,search_url,str,URL de búsqueda desde la cual fue capturada la publicación.,https://www.argenprop.com/departamentos/venta/capital-federal
df_raw_argenprop,pagina_origen,int64,Página de resultados donde apareció la publicación.,1
df_raw_argenprop,http_status,int64,Código HTTP de respuesta durante scraping.,200
df_raw_argenprop,parse_ok,int64,Indicador de parseo exitoso.,1
df_raw_argenprop,parse_warnings,str,Advertencias del proceso de parseo.,modo_listado_sin_ficha_detallada
df_raw_argenprop,titulo,str,Título publicado del aviso.,TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full a...
df_raw_argenprop,descripcion,float64,Descripción textual del aviso cuando está disponible.,
df_raw_argenprop,tipo_operacion,str,"Tipo de operación: venta, alquiler o alquiler temporal.",venta
df_raw_argenprop,tipo_propiedad,str,Tipo de inmueble declarado o inferido.,departamento
df_raw_argenprop,estado_publicacion,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,fecha_publicacion,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,inmobiliaria,float64,Nombre de inmobiliaria o anunciante cuando está disponible.,
df_raw_argenprop,seller_id,float64,Identificador del vendedor/anfitrión cuando existe.,
df_raw_argenprop,moneda,str,Moneda del precio publicado.,USD
df_raw_argenprop,precio,float64,Precio numérico extraído de la publicación.,2400000.0
df_raw_argenprop,precio_texto,str,Precio en formato textual original.,USD 2.400.000 + $2.200.000 expensas
df_raw_argenprop,expensas_moneda,str,Pendiente de documentar según significado en la fuente.,ARS
df_raw_argenprop,expensas,float64,Pendiente de documentar según significado en la fuente.,124000.0
df_raw_argenprop,expensas_texto,str,Pendiente de documentar según significado en la fuente.,expensas $124.000
df_raw_argenprop,precio_m2_calculado,float64,Precio por metro cuadrado calculado por scraper en Argenprop/Zonaprop.,8000.0
df_raw_argenprop,direccion_completa,str,Dirección capturada en Argenprop/Zonaprop/Airbnb.,Jerónimo Salguero 2700
df_raw_argenprop,calle,str,Calle extraída o inferida.,Jerónimo Salguero
df_raw_argenprop,altura,float64,Altura aproximada o declarada.,2700.0
df_raw_argenprop,piso,str,Pendiente de documentar según significado en la fuente.,1
df_raw_argenprop,unidad,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,barrio,float64,"Barrio declarado, inferido o capturado desde la fuente.",
df_raw_argenprop,localidad,float64,Localidad declarada.,
df_raw_argenprop,partido,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,provincia,float64,Provincia o jurisdicción declarada.,
df_raw_argenprop,pais,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,codigo_postal,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,latitud,float64,Latitud de la publicación cuando la fuente la informa.,
df_raw_argenprop,longitud,float64,Longitud de la publicación cuando la fuente la informa.,
df_raw_argenprop,ambientes,float64,Cantidad de ambientes.,2.0
df_raw_argenprop,dormitorios,float64,Cantidad de dormitorios.,3.0
df_raw_argenprop,banios,float64,Cantidad de baños.,1.0
df_raw_argenprop,toilettes,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,cocheras,float64,Pendiente de documentar según significado en la fuente.,2.0
df_raw_argenprop,superficie_total_m2,float64,Superficie total en m2.,300.0
df_raw_argenprop,superficie_cubierta_m2,float64,Superficie cubierta en m2.,91.0
df_raw_argenprop,superficie_descubierta_m2,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,superficie_semicubierta_m2,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,superficie_terreno_m2,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,frente_m,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,fondo_m,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,antiguedad_anios,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,estado_inmueble,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,disposicion,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,orientacion,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,luminosidad,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,cantidad_plantas,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,cantidad_pisos_edificio,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,departamentos_por_piso,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,apto_credito,float64,Indicador de apto crédito.,
df_raw_argenprop,apto_profesional,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,permite_mascotas,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,accesibilidad,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,amoblado,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,balcon,float64,Indicador de balcón.,
df_raw_argenprop,terraza,float64,Indicador de terraza.,
df_raw_argenprop,patio,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,jardin,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,parrilla,float64,Indicador de parrilla.,
df_raw_argenprop,pileta,float64,Indicador de pileta.,
df_raw_argenprop,sum,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,gimnasio,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,sauna,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,laundry,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,baulera,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,ascensor,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,seguridad_24h,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,vigilancia,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,aire_acondicionado,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,calefaccion,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,losa_radiante,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,gas_natural,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,agua_corriente,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,electricidad,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,cloaca,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,internet,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,vista_rio,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,vista_abierta,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,reciclado,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,a_refaccionar,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,cantidad_imagenes,int64,Cantidad de imágenes detectadas.,9
df_raw_argenprop,imagen_principal,str,URL de imagen principal.,https://www.argenprop.com/static-content/32499781/e0063af1-49cc-48e2-b1f3-27eb92fa9aaa_u_small.jpg
df_raw_argenprop,video_url,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,tour_virtual_url,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,cantidad_atributos_extra,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_argenprop,atributos_extra_json,str,Pendiente de documentar según significado en la fuente.,"{""texto_tarjeta"": ""+ 38 Ver más fotos 1 /46 Visto 72.002 USD 2.400.000 &plus; $2.200.000 expensas Jerónimo Salguero 2700..."
df_raw_argenprop,jsonld_raw,float64,Pendiente de documentar según significado en la fuente.,
df_raw_argenprop,_archivo_origen,str,Pendiente de documentar según significado en la fuente.,data\raw\argenprop\propiedades_argenprop.csv
df_raw_zonaprop,property_id,str,Identificador de publicación o propiedad según fuente.,174f7e930591b69560cf
df_raw_zonaprop,fuente,str,Portal o fuente de origen del registro.,Zonaprop
df_raw_zonaprop,url,str,URL de la publicación.,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-a-estrenar-ideal-vivienda-o-inversion-59559283....
df_raw_zonaprop,scraped_at_utc,str,Fecha y hora de extracción en UTC.,2026-08-17T20:48:48.072806+00:00
df_raw_zonaprop,search_url,str,URL de búsqueda desde la cual fue capturada la publicación.,https://www.zonaprop.com.ar/departamentos-venta-capital-federal.html
df_raw_zonaprop,pagina_origen,int64,Página de resultados donde apareció la publicación.,1
df_raw_zonaprop,http_status,int64,Código HTTP de respuesta durante scraping.,200
df_raw_zonaprop,parse_ok,int64,Indicador de parseo exitoso.,1
df_raw_zonaprop,parse_warnings,str,Advertencias del proceso de parseo.,modo_listado_sin_ficha_detallada
df_raw_zonaprop,titulo,str,Título publicado del aviso.,"Una nueva forma de vivir el sur porteño. Desarrollo de fami&#39;Studio Arquitectura, estudio con más de 35 años de traye..."
df_raw_zonaprop,descripcion,float64,Descripción textual del aviso cuando está disponible.,
df_raw_zonaprop,tipo_operacion,str,"Tipo de operación: venta, alquiler o alquiler temporal.",venta
df_raw_zonaprop,tipo_propiedad,float64,Tipo de inmueble declarado o inferido.,
